time_ms,KC1_rate,KC2_rate,MBON_rate,DAN_rate,DA,cAMP,Ca,kappa,W_KC1,W_KC2,eligibility_KC1,eligibility_KC2
2604.0,4.82088246823531e-69,1.9283529872941069e-69,1.0221219692199333e-42,5.414247472325552e-28,0.0025776869164136924,0.07687304728545,0.10000012356274297,-0.42312747554181906,0.0,0.0,0.042044376510258344,0.016817750604103263
2605.0,4.3599196899962165e-69,1.743967875998471e-69,9.721505594967027e-43,5.0639358572472605e-28,0.0025520257343790297,0.0767194394885919,0.10000012294631748,-0.42328108091926986,0.0,0.0,0.042002351048673066,0.01680094041946915
2606.0,3.943033216110521e-69,1.5772132864441946e-69,9.246222454752821e-43,4.736290037976424e-28,0.0025266200124854817,0.07656613863098093,0.10000012233296719,-0.4234343793682257,0.0,0.0,0.04196036759364296,0.016784147037457106
2607.0,3.5660085618146724e-69,1.4264034247258564e-69,8.794175845255506e-43,4.429843496483173e-28,0.002501467207596741,0.07641314409929073,0.10000012172267678,-0.4235873715019687,0.0,0.0,0.04191842610318036,0.016767370441272068
2608.0,3.225034222633115e-69,1.2900136890532352e-69,8.364229735519904e-43,4.143224601109604e-28,0.002476564801893728,0.07626045528142059,0.10000012111543095,-0.42374005793255515,0.0,0.0,0.041876526535339596,0.016750610614135766
2609.0,2.916663142239344e-69,1.1666652568957277e-69,7.955303634996027e-43,3.875150467249706e-28,0.0024519103026225558,0.07610807156649282,0.10000012051121454,-0.4238924392708185,0.0,0.0,0.04183466884821691,0.01673386753928669
2610.0,2.6377778646801186e-69,1.0551111458720382e-69,7.5663698781759e-43,3.6244212152544033e-28,0.0024275012418449957,0.07595599234485047,0.10000011991001241,-0.42404451612637173,0.0,0.0,0.04179285299995039,0.016717141199980082
2611.0,2.3855590186716996e-69,9.542236074686711e-70,7.196451041984165e-43,3.3899145998605496e-28,0.002403335176191444,0.07580421700805474,0.10000011931180956,-0.42419628910761004,0.0,0.0,0.04175107894872002,0.016700431579487935
2612.0,2.157456815362279e-69,8.62982726144904e-70,6.844617489432098e-43,3.1705809871055792e-28,0.0023794096866163322,0.07565274494888266,0.100000118716591,-0.4243477588217125,0.0,0.0,0.04170934665274758,0.01668373866109896
2613.0,1.951165271419225e-69,7.804661085676831e-70,6.509985033362066e-43,2.9654386562448862e-28,0.0023557223781559807,0.0755015755613246,0.10000011812434183,-0.4244989258746453,0.0,0.0,0.041667656070296585,0.01666706242811856
2614.0,1.7645988968512362e-69,7.058395587404881e-70,6.191712714411218e-43,2.7735694056436495e-28,0.0023322708796888613,0.0753507082405818,0.10000011753504724,-0.4246497908711638,0.0,0.0,0.041626007159672275,0.016650402863868843
2615.0,1.5958716118925681e-69,6.383486447570217e-70,5.889000687610232e-43,2.594114442975415e-28,0.002309052843698243,0.07520014238306412,0.10000011694869253,-0.42480035441481523,0.0,0.0,0.04158439987922158,0.01663375995168856
2616.0,1.4432776798110464e-69,5.7731107192441346e-70,5.6010882123059874e-43,2.4262705413322724e-28,0.002286065946037205,0.0750498773863874,0.10000011636526299,-0.4249506171079403,0.0,0.0,0.041542834187333046,0.016617133674933147
2617.0,1.305274462881407e-69,5.2210978515255825e-70,5.327251740356645e-43,2.269286444041663e-28,0.0022633078856959896,0.07489991264937125,0.10000011578474402,-0.4251005795516767,0.0,0.0,0.04150131004243682,0.01660052401697466
2618.0,1.1804668271966893e-69,4.721867308786717e-70,5.0668030977946185e-43,2.1224595020980484e-28,0.002240776384571665,0.07475024757203652,0.10000011520712115,-0.425250242345961,0.0,0.0,0.04145982740300463,0.016583930961201778
2619.0,1.0675930386592017e-69,4.27037215463677e-70,4.819087755387816e-43,1.985132529158839e-28,0.0022184691872400874,0.07460088155560295,0.1000001146323799,-0.4253996060895306,0.0,0.0,0.041418386227549654,0.016567354491019787
2620.0,9.655120075675636e-70,3.8620480302702214e-70,4.58348318375291e-43,1.8566908600277841e-28,0.0021963840607301297,0.07445181400248677,0.10000011406050588,-0.42554867137992686,0.0,0.0,0.04137698647462657,0.016550794589850558
2621.0,8.731917528498696e-70,3.492767011399448e-70,4.3593972888869006e-43,1.7365595994598105e-28,0.002174518794300161,0.07430304431629826,0.10000011349148483,-0.42569743881349753,0.0,0.0,0.0413356281028315,0.016534251241132523
2622.0,7.896989693229403e-70,3.158795877291734e-70,4.146266924185353e-43,1.6242010489731659e-28,0.002152871199216749,0.07415457190183947,0.10000011292530249,-0.4258459089853983,0.0,0.0,0.04129431107080191,0.01651772442832069
2623.0,7.141895925085952e-70,2.856758370034355e-70,3.943556475207847e-43,1.519112300151484e-28,0.002131439108535563,0.07400639616510173,0.10000011236194468,-0.42599408248959575,0.0,0.0,0.041253035337216644,0.01650121413488658
2624.0,6.459002656226158e-70,2.5836010624904398e-70,3.750756513634075e-43,1.4208229836635573e-28,0.0021102203768844645,0.07385851651326333,0.10000011180139735,-0.42614195991886983,0.0,0.0,0.04121180086079583,0.016484720344318256
2625.0,5.841406224725194e-70,2.3365624898900556e-70,3.5673825170278492e-43,1.3288931639256073e-28,0.0020892128802487493,0.07371093235468716,0.10000011124364643,-0.426289541864816,0.0,0.0,0.04117060760030086,0.016468243040120272
2626.0,5.282863082486318e-70,2.1131452329945078e-70,3.3929736511916717e-43,1.2429113699827224e-28,0.0020684145157585355,0.07356364309891827,0.10000011068867799,-0.4264368289178476,0.0,0.0,0.04112945551453437,0.016451782205813677
2627.0,4.7777266765263855e-70,1.911090670610537e-70,3.227091612051838e-43,1.1624927537958263e-28,0.0020478232014782636,0.07341664815668163,0.10000011013647818,-0.4265838216671986,0.0,0.0,0.04108834456234014,0.01643533782493599
2628.0,4.320890365541852e-70,1.728356146216725e-70,3.0693195241636215e-43,1.0872773676908187e-28,0.0020274368761982907,0.07326994693987963,0.10000010958703316,-0.4267305207009251,0.0,0.0,0.041047274702603116,0.01641890988104118
2629.0,3.9077357946742915e-70,1.5630943178697023e-70,2.919260893068403e-43,1.0169285532598736e-28,0.0020072534992285626,0.07312353886158982,0.1000001090403292,-0.4268769266059086,0.0,0.0,0.041006245894249324,0.016402498357699663
2630.0,3.5340862065737154e-70,1.4136344826294733e-70,2.7765386088699144e-43,9.511314345037406e-29,0.00198727105019434,0.07297742333606254,0.10000010849635262,-0.42702303996785795,0.0,0.0,0.040965258096245835,0.016386103238498272
2631.0,3.196164216761132e-70,1.2784656867044412e-70,2.640793998525517e-43,8.895915084704698e-29,0.0019674875288339558,0.07283159977871859,0.1000001079550898,-0.4271688613713115,0.0,0.0,0.04092431126760075,0.01636972450704025
2632.0,2.8905536264233236e-70,1.1562214505693188e-70,2.511685924470832e-43,8.320333270823609e-29,0.0019479009547985872,0.07268606760614688,0.10000010741652725,-0.4273143913996398,0.0,0.0,0.040883405367363165,0.01635336214694521
2633.0,2.6141648865889498e-70,1.0456659546355703e-70,2.3888899273124963e-43,7.781992642510968e-29,0.0019285093674540215,0.07254082623610207,0.10000010688065145,-0.4274596306350475,0.0,0.0,0.040842540354623064,0.01633701614184917
2634.0,2.364203864548471e-70,9.456815458193795e-71,2.272097410434557e-43,7.278483627627601e-29,0.0019093108256843941,0.07239587508750227,0.100000106347449,-0.4276045796585764,0.0,0.0,0.04080171618851136,0.016320686475404488
2635.0,2.13814359676418e-70,8.552574387056644e-71,2.161014864469354e-43,6.807552557714766e-29,0.001890303407697881,0.07225121358042672,0.10000010581690659,-0.42774923905010703,0.0,0.0,0.04076093282819978,0.016304373131279856
2636.0,1.9336987427083778e-70,7.73479497083344e-71,2.05536312968392e-43,6.36709158074374e-29,0.0018714852108343274,0.07210684113611342,0.1000001052890109,-0.4278936093883612,0.0,0.0,0.04072019023290089,0.016288076093160304
2637.0,1.748802481372519e-70,6.995209925490013e-71,1.95487669442821e-43,5.955129226528761e-29,0.001852854351374787,0.0719627571769569,0.10000010476374879,-0.4280376912509049,0.0,0.0,0.04067948836186803,0.01627179534474716
2638.0,1.5815856168842247e-70,6.326342467536843e-71,1.859303027882112e-43,5.56982158257484e-29,0.001834408964352962,0.07181896112650582,0.10000010424110709,-0.4281814852141494,0.0,0.0,0.04063882717439524,0.016255530869758044
